,Topic,Words,Frequency,Timestamp
53,64,"Descartes, Augustine, Aristotle, Meditations, Cartesian",5,2000
54,65,"self deception, deception, groups intentionalist, deception defends, deceived person",1,2000
55,66,"Spinoza, Rutherford, theodicy, philosophy, theodicy essential",3,2000
56,67,"critical reasoning, knowledge, introspective evidence, difference self, epistemic difference",3,2000
57,71,"unpleasantness, sensations proper, affective, consist, objections",2,2000
58,73,"chance, statistical mechanics, contrastive, statistical, mechanics",3,2000
59,74,"coherence, dubious quality, information, better randomization, coherence information",2,2000
60,75,"Fitchs, Fitchs Proof, knowability, verificationism, knower paradox",4,2000
61,76,"necessary identities, posteriori necessary, existence posteriori, Kripke argued, water H2O",1,2000
62,79,"judgement stroke, puzzle, dissociation assertoric, regards judgementstroke, Frege vehemently",1,2000
63,84,"intervention, moral responsibility, responsibility, preclude alternatives, trigger",1,2000
64,88,"appreciating strength, analysis impasse, reality quite, familiarity Quines, fact readings",2,2000
65,-1,"paper, theory, Heidegger, knowledge, account",114,2001
66,0,"rights, value, Kant, normative, book",54,2001
67,1,"UL, creature, abilities rational, rational creature, puzzle belief",5,2001
68,2,"numbers, mathematical, philosophy mathematics, us exist, numbers prime",6,2001
69,3,"names, count nouns, nouns, Januarys, philosophy",19,2001
70,4,"reasons, desire, motivation, rationality, normative",14,2001
71,5,"cognitive, computational, connectionist, cognition, Bealers argument",10,2001
72,6,"modal, Chihara, logic, modal logic, conception modal",8,2001
73,7,"Predictor, decision theory, box, theory, expected utility",7,2001
74,8,"joint probabilities, quantum, Bells inequalities, Bells, minimalist position",4,2001
75,9,"temporal, tenseless, tense, theory time, linguistic premises",5,2001
76,10,"clearest sensible, systems along, mathematics chaotic, treatment chaos, chaos theory",1,2001
77,11,"speech, indirect speech, speech acts, opacity, semantic",11,2001
78,12,"JSTOR, work scholarly, archives, scholarly community, information JSTOR",1,2001
79,13,"causation, causal, Causation, causal loops, genuine causation",8,2001
80,14,"ofﬁce Edinburgh, global doubts, knowledge, seeks acknowledge, arguments scepticism",3,2001
81,15,"scientific, scientific realism, radical scientific, paradigm shifts, historical evidence",6,2001
82,16,"perceptual, perceptual experience, visual, nonconceptual content, nonconceptual",12,2001
83,17,"protocols, relatively new, benchmarks, warranted assertability, intuitionistic logic",3,2001
84,18,"highly natural, Denkel, relations, bundle theory, material objects",4,2001
85,19,"responsibility, agent, responsible, notion taking, kind mechanism",4,2001
86,20,"emotions, emotion, laughter, passion, Hobbes",7,2001
87,21,"physicalism, consciousness, materialism, physical properties, dualism",8,2001
88,22,"vagueness, vagueness linguistic, variety vagueness, Quandary, vagueness third",2,2001
89,23,"definition pornography, definition, pornography, objections plague, pornography comes",1,2001
90,24,"colour, Stroud, indiscriminability, colours, Quest Reality",7,2001
91,25,"personal identity, persons, animalism Lockeanism, cerebrum, psychological",8,2001
92,26,"fictional, imagery, mental images, imagination, philosophical pressure",3,2001
93,27,"new paradox, theory RAT, alia argue, paradox epistemological, trapped problem",2,2001
94,28,"experts, comparative novices, skepticism domain, laypersons evaluate, skeptical quandaries",1,2001
95,29,"art, art history, history writing, aesthetic, writing",3,2001
96,30,"God, faith, religious faith, religious, Information",11,2001
97,31,"self causation, ultimate self, indeterminism necessary, necessary free, indeterminism",3,2001
98,32,"Hume, Treatise, interpretation Hume, Hume theory, steady influence",11,2001
99,33,"Wittgenstein, Brenner, philosophy, passages, Heidegger",8,2001
100,34,"Kant, transcendental, idealism, apperception, Kants",6,2001
101,35,"perceptual, perception, beliefs, perceptual experiences, experience",8,2001
102,36,"meaning connection, subjunctive, indicative subjunctive, entailment, formal system",2,2001
103,37,"atoms arranged, arranged, exist atoms, Aristotles, exists statue",2,2001
104,38,"internal twins, internalism, appeal internal, virtue one, internalists",2,2001
105,39,"lack solutions, Liar Paradox, ﬁve years, discuss Liar, Too many",1,2001
106,40,"mental, pork chops, bodily behavior, complex event, previous microphysical",1,2001
107,41,"Politics, Plato, Socrates, Aquinas, Aristotle",11,2001
108,42,"protocols, proof theories, protocols dynamic, dialectical proof, soundness fairness",1,2001
109,43,"Virtue, reflection, Virtue Epistemology, Sosas, Epistemology",1,2001
110,44,"skepticism, theory Greco, reliabilism Greco, easily dismissed, reflection upon",2,2001
111,45,"species, collective belief, ordinary claims, plural subjects, phenomenon",2,2001
112,47,"discs belong, necessarily understood, belong ontology, arguments spatial, RDA fails",1,2001
113,48,"That wants, believing terms, knowing able, Brandom mind, pragmatist theory",3,2001
114,50,"intuitions, contingent psychological, psychological constitution, unsuccessful epistemically, Sturgeon response",1,2001
115,51,"Stephen Neales, flaws Russell, Neale considers, considers argue, symposium Stephen",1,2001
116,54,"abilities, thosenew abilities, psychological andevolutionary, Theidea interpretation, representingintentional",1,2001
117,55,"conception call, call action, intention, intentional action, uncle",2,2001
118,57,"deflationism, deflationary, lexical meaning, effective enumeration, rule theory",5,2001
119,58,"conceptual, Jackson, conceptual analysis, analysis, concepts",3,2001
120,59,"Environmental, Padmasiri de, Philosophy Ethics, Ethics Buddhism, xviii 195",2,2001
121,61,"function pervasiveness, Progress nature, suitably general, concepts prevalent, anything illuminating",1,2001
122,62,"fly, Clark Kent, Kent, modes presentation, serve modes",3,2001
123,64,"Descartes, Vinci, senses, Cartesian, writings",2,2001
124,65,"deception, guise, Barnes, Gonzales FBI, believe idiot",2,2001
125,66,"Leibniz, philosophy mind, philosophy, Spinoza, perceptions",1,2001
126,67,"self knowledge, Brueckners reasoning, sincere utterances, express various, concept applies",3,2001
127,70,"metaphysics, applied metaphysics, given domain, metaphysical, topic",3,2001
128,71,"leg understand, When feel, pain leg, feel pain, feel",1,2001
129,72,"psychic powers, powers apparent, Sampling, premiss Self, indexical belief",1,2001
130,74,"coherence, justification coherence, coherentism, channeling justification, justified coherence",1,2001
131,76,"phrases plural, Lastly develops, common essential, objections KPT, terms KPT",1,2001
132,78,"HOST, higher order, consciousness, state, field Consciousness",2,2001
133,80,"functional consistency, semantic, Moores paradox, Moores, semantic theory",1,2001
134,82,"Moore, paradoxical proposition, Moore paradoxical, inconsistency self, argued attempting",3,2001
135,83,"ontology, ontological dimension, Semantic Sentential, Principle Semantic, truth ontological",2,2001
136,85,"mental acts, mentalacts, mental, movements paper, ones mentalprocesses",1,2001
137,87,"privilege, first person, person privilege, approach privilege, Bermúdez",4,2001
138,88,"analyticity, Quine, epistemic analyticity, synthetic distinction, empiricism",4,2001
139,-1,"philosophy, one, paper, self, language",145,2002
140,0,"moral, ethics, ethical, book, Adams",59,2002
141,1,"reliabilism, epistemic, beliefs, Reliabilism, evidentialism",11,2002
142,2,"mathematics, Potter, numbers, set theory, incidence",19,2002
143,3,"Philosophy, German Idealism, Idealism, nonindexical reference, If exists",12,2002
144,4,"ought, normative, rational, internalism, Humean",12,2002
145,5,"multiplerealizability, 1999, realizability, resource, cellularmolecular",3,2002
146,6,"modal, conceptual relativity, possible worlds, metaphysical realism, metaphysical",7,2002
147,7,"causal probability, decision theory, taking causal, definition proceeds, My definition",5,2002
148,8,"particles, quantum, indistinguishability classical, dimensional, classical particles",3,2002
149,9,"time, token reflexive, Gödel, temporal, real change",6,2002
150,10,"group selection, biological, biology, kinds, perspectives",8,2002
151,11,"demonstratives, language, meaning, linguistic, expressions",17,2002
152,13,"causation, causal, causal processes, Bayesian propensity, causal networks",5,2002
153,14,"contextualist, contextualist solution, contextualism, matter philosophers, part developed",2,2002
154,15,"miraculous, theories, realism, successful theories, scientific realism",8,2002
155,16,"Reid, geometry, spherical projections, projections, transparency",4,2002
156,17,"iff Tr, logic, apriority logic, apriority, formal structural",5,2002
157,18,"statue, primary kind, objects, constituting, Baker",5,2002
158,19,"responsibility, moral responsibility, Strawsonian, Sentiments, Moral Sentiments",6,2002
159,20,"emotions, affectivity, jealousy, Neus, emotion",7,2002
160,21,"physicalism, physical properties, supervenience, consciousness, bits matter",10,2002
161,22,"vagueness, vague predicates, predicates, sorites arguments, error principles",8,2002
162,23,"morally prohibited, obscenity, affective responses, morally, sexual",3,2002
163,24,"colour vision, colours, sensible qualities, qualities color, metamers",7,2002
164,25,"persons, personal identity, human animals, ontological significance, human",9,2002
165,26,"theory imagination, pretend iteration, modalfictionalism, person privileged, way ideas",4,2002
166,27,"known known, knowledge, warrant, tradition independent, know",5,2002
167,29,"Theory Art, art, Wood, aesthetic, Hardback",3,2002
168,30,"Information, Reason By, Press, Hardback, human nature",11,2002
169,31,"libertarianism, Humean compatibilism, compatibilism, situations one, free argue",4,2002
170,32,"Hume, inductive, Hume radical, skepticism naturalism, argument concerning",6,2002
171,33,"Wittgenstein, Heidegger, language, philosophical, conflict Carnap",7,2002
172,34,"Kant, freely beautiful, judged freely, dependently beautiful, beauty",3,2002
173,36,"conditionals, shoot Kennedy, indicative, entailed Someone, Kennedy someone",2,2002
174,37,"Categories, Metaphysics, substance Metaphysics, microscopica, ontology",2,2002
175,38,"internal facts, infallibility, internalism, rationality belief, facts thinkers",4,2002
176,39,"paradoxes, Liar, Tarski, referential truth, truth skepticism",5,2002
177,40,"SC, mental causation, mental, causation, supervenience",3,2002
178,41,"Plato, book, stoic, Socrates, Greek",14,2002
179,42,"checking, programming languages, programming, model checking, onmotivating basic",2,2002
180,43,"action right, virtuous, virtue, belief justified, flawedbecause virtuous",1,2002
181,44,"scepticism, skepticism, arguments, mere platitudes, doctrines",2,2002
182,45,"social epistemology, Social World, Knowledge Social, epistemology, social practices",4,2002
183,46,"response dependence, intuitivecases response, dependence, traditional conception, response",1,2002
184,47,"laws, factual normative, Hume, Hume Principle, Humeanism",3,2002
185,49,"structuralism, explanation unification, causal, explanatory, patterns",3,2002
186,51,"propositions, structures sentences, sentences express, congenial concerned, simply definiteness",1,2002
187,52,"dimensional, four, endurantism, four dimensional, temporal parts",5,2002
188,53,"testimony, warrant, praise testimony, testimonial beliefs, accepting testimony",3,2002
189,55,"Causing Actions, Causing, Actions, Petroskis Causing, Pietroski Causing",2,2002
190,57,"deflationism, meaning, deflationist, deflationary, sense ofthe",4,2002
191,59,"Environmental Philosophy, Chesham, Environmental, Acumen, xiv",3,2002
192,60,"memory, anaphoric, anaphoric thinking, know something, past",2,2002
193,62,"attitude, class notionally, substitution, class de, notionally sensitive",4,2002
194,64,"Descartes, Cartesian, passions, cogito, Descartess",5,2002
195,65,"self deception, might term, process self, claims reflective, show adjudicate",1,2002
196,67,"self knowledge, held University, knowledge Self, two descendants, conference self",2,2002
197,70,"metaphysics, Gracia, Lowe, definition, alone",2,2002
198,71,"Chastity, pleased state, consisting imagining, end pain, reason end",3,2002
199,72,"Beauty, Sleeping, Sleeping Beauty, doomsday argument, treatment forgetting",4,2002
200,73,"occur chance, opportunities event, broadly similar, probabilities, propensities indirectly",2,2002
201,75,"anti realism, generally constructively, implicitness develop, suspect principle, prove quite",2,2002
202,76,"general terms, kind terms, natural, contrary way, insight however",2,2002
203,78,"consciousness, consciousness intrinsic, higher order, turn consequences, appearance Djin",2,2002
204,79,"analysis decomposition, accepts, regress argument, propositional content, recognizing",2,2002
205,80,"occurrence sentence, occurrence, sentence possibility, one assessing, If relative",1,2002
206,82,"know, know guise, Moores Proof, Reid, believe",2,2002
207,84,"might excused, ensures thatthe, responsibilityfor long, responsibilityfor, action aconsequence",1,2002
208,87,"attributes whose, doubt exist, categories ordinary, attitudinal psychology, lucid doubt",1,2002
209,-1,"theory, paper, truth, belief, view",117,2003
210,0,"ethical, human, value, normative, morality",51,2003
211,1,"justification, beliefs, epistemic, rationality, reliability",9,2003
212,2,"Hilberts program, Tarskian definition, mathematical objects, proofs, philosophy mathematics",14,2003
213,3,"quasi disquotationalism, directly referential, theories reference, quasi, new theories",6,2003
214,4,"rationality, Audi, desire, psychological, psychological states",16,2003
215,6,"modal, actual objects, Roderic Girle, Teddington, modality",3,2003
216,7,"prospect theory, theory, risk, decision theory, choice",8,2003
217,8,"quantum, like funny, locality, quantum mechanics, dichotomy EPR",5,2003
218,9,"temporal, temporal reality, tenseless, conclusion temporal, temporal part",7,2003
219,10,"taxonomic, incommensurability, taxonomic incompatibility, concepts stability, scientific kinds",3,2003
220,11,"presupposition, refers, semantic, relative context, speaker presupposition",6,2003
221,12,"Farrington, Francis Bacon, priority, allocation resources, society",2,2003
222,13,"causation, causal, causes, NP counterfactuals, NP",9,2003
223,14,"contextualists, knowledge plausibly, semantic intentions, knowledge contextualists, show contextualists",1,2003
224,15,"multiple theories, realism, realism multiple, Predictionism, evolutionary theory",2,2003
225,16,"geometry, meanings thought, psychological abilities, sphere surface, others geometry",2,2003
226,17,"Consequence Condition, Converse Consequence, confirmation principles, Condition Entailment, one interprets",2,2003
227,18,"bare particulars, fusion, universals, alteration, composition",7,2003
228,19,"disposition, choice disposition, choose adopt, fundamental choice, Responsibility Common",2,2003
229,20,"emotions, affective, disgust, reasons love, nonrelational features",6,2003
230,21,"physicalism, heat perception, ontological physicalism, materialism, mental",7,2003
231,22,"vagueness, theories vagueness, Vagueness, fuzzy, order vagueness",9,2003
232,23,"race, harassment, white European, diaspora, Afro Caribbean",4,2003
233,24,"Dialogue, snow, colours, Locke, red",7,2003
234,25,"walls, house, persons, fusion walls, Tinkertoy parts",4,2003
235,26,"fictional, fictional characters, characters, modal realism, assertions",2,2003
236,27,"warranted false, belief warranted, accidentally true, belief, Gettier Problem",6,2003
237,29,"Sibley, art, aesthetic, art What, Mass Art",3,2003
238,30,"God, Paperback, By, theism, Plantinga",10,2003
239,31,"free, libertarian, indeterminism, agent, control",4,2003
240,32,"early modern, reasoning Humes, modern conception, conception reasoning, Bayesian",4,2003
241,33,"Wittgenstein, rule following, genuine propositions, misrepresented, nonsense",4,2003
242,34,"Kant, Van Cleve, real, genuine existence, things genuine",4,2003
243,36,"conditionals, subjunctive, subjunctive conditionals, indicative, indicative conditionals",4,2003
244,37,"expressed Fs, term expressed, believing Fs, mind, rather attitude",2,2003
245,38,"externalism, brains vat, cognitive situationcannot, cannotbe brains, mistaken inferences",5,2003
246,39,"Yablos paradox, refer Yablos, paradox circular, self reference, paradoxes",1,2003
247,40,"physical, causation, causal powers, mental properties, argument",8,2003
248,41,"Parmenides, Plato, Socrates, Aquinas, logical means",8,2003
249,43,"make subject, preference simple, stable dispositions, unprecedented way, reliabilism primarily",2,2003
250,44,"skepticism, external world, skeptical arguments, scepticism, skeptic",7,2003
251,45,"IRA, Blackwell, Ireland politician, fact collective, deep enough",3,2003
252,46,"counterfactuals, 1979 argued, syllogistic relations, discussion illustrates, tB precedes",2,2003
253,47,"Lewis, Humean supervenience, laws, supervenience, instantiations",1,2003
254,48,"dilemma Brandom, evade dilemma, normative vocabulary, theories content, vocabulary",2,2003
255,49,"scientists, narrative, social realm, person perspective, explanatory",2,2003
256,52,"dimensionalism, four dimensionalism, four, stage theory, persistence",10,2003
257,53,"local reductionism, reductionism, hearers, pain scepticism, weak enable",1,2003
258,55,"Human Action, dynamical systems, Human, dynamical, Theory Rests",2,2003
259,57,"deflationism, sentences understood, truthmaking, existential, speaker sentences",3,2003
260,58,"conceptual analysis, analysis, objection, reductionism, essentialism",2,2003
261,60,"personal memory, memory judgements, judgements, personal identity, past He",2,2003
262,61,"Birds cases, part consider, bare dispositions, Properties, conditional analysis",3,2003
263,62,"vocabulary, attitude vocabulary, clause, motivations within, thesis introduces",2,2003
264,63,"effect principle, Langsams, perceptual, hallucination argument, Theory Appearing",3,2003
265,64,"sensory, sensory perception, Descartes, sensory experience, Cartesian mind",2,2003
266,65,"interpretist approach, attentive consciousness, self deception, desire contrary, unsuccessful discussion",1,2003
267,66,"Spinoza, necessitarianism, attributes, Bennett, infinite eternal",5,2003
268,67,"self knowledge, individualism, introspection, introspective, selfblind",4,2003
269,70,"Democritus Aristotle, metaphysics Professor, Leibniz course, names understood, Professor Loptson",1,2003
270,71,"pain, objects, opponents adherents, Douglasrightly argues, pain rebut",2,2003
271,72,"doomsday argument, SIA, Sleeping Beauty, sampling, many observers",5,2003
272,73,"get box, hour, chance, Schrödinger cat, atom decays",1,2003
273,74,"coherence, confidence boost, coherent, coherent information, probabilistic",2,2003
274,75,"knowability, antirealism, verification procedure, unperformability, knowability paradox",3,2003
275,78,"Neo Brentanian, HOT theory, higher order, Order Monitoring, actualist HOT",3,2003
276,79,"views premised, individualism competence, uses linguisticexpressions, Fregean corpus, objectivism someelements",1,2003
277,84,"ownership rejection, rejection desire, order attitudes, evaluative, Platonic",1,2003
278,86,"compatibilists, compatibilism, compatible moral, debate attempted, compatibilists case",1,2003
279,87,"thoughts, self consciousness, consciousness, plausible theory, misidentification dependent",4,2003
280,88,"Quine, analyticity, deflationism, meaning, distinction",3,2003
281,-1,"paper, theory, argument, truth, properties",113,2004
282,0,"rights, value, Kant, cloth, justice",39,2004
283,1,"Truetemp, evidence, epistemic, beliefs, subjective",9,2004
284,2,"abstraction, holes, implicit definability, eliminative, mathematical objects",7,2004
285,3,"names, descriptivism, reference, Philosophy, classical descriptivism",10,2004
286,4,"Humean, normative, extrinsic desire, negative results, Bermuda",13,2004
287,5,"NEF, networks, computation, time memory, neural",5,2004
288,6,"modal, modal logic, modality, possible worlds, variability modal",9,2004
289,7,"game, expected outcomes, decision theory, decision rules, conventional conditional",6,2004
290,8,"relativity, quantum mechanics, relativity theory, theory, geometry",7,2004
291,9,"perceptual knowledge, order duration, time perception, truth makers, account perceptual",6,2004
292,10,"natural kind, nature analysing, natural selection, metaphysics nature, descriptivists",2,2004
293,11,"reference, location utterance, utterance, substitutivity, Meinongian",7,2004
294,12,"objectivity, Buchanan research, economic philosophy, Buchanan, philosophy",4,2004
295,13,"pre emption, problem pre, degree influence, notion degree, Lewis presented",1,2004
296,14,"contextualism, knowledge, standards, contextualists, SSI",10,2004
297,15,"realism, scientific realism, Fraassens, theories, observation",5,2004
298,16,"seeing, perceptual, experience, natural sensory, difference blindness",5,2004
299,17,"inference forms, archetypal, implicitly subsumes, inferences, premiss conclusion",2,2004
300,18,"stuff, constitutionally related, portions stuff, related objects, objects",4,2004
301,19,"legal, law, legal doctrines, tort law, tort",1,2004
302,20,"emotions, compassion, mountain range, geological, upheavals",4,2004
303,21,"physicalism, Perry, dualism, properties, consciousness",6,2004
304,22,"vague, vagueness, idea world, consider idea, vague terms",8,2004
305,23,"race, Beauvoir, view race, biological kind, social construction",2,2004
306,24,"colour, objects, colours, reflectance, physicalism",8,2004
307,25,"coincides thinking, argument animals, apparent fact, animals, critics however",1,2004
308,26,"fiction, morally deviant, deviant, fictional, author says",1,2004
309,27,"Knower without, without Epistemic, Knower Paradox, Closure MIND, Paradox Knower",1,2004
310,29,"aesthetic, art, aesthetic testimony, human nature, knives",4,2004
311,30,"95 paper, God, Culture Equality, Paradoxes Their, Their Roots",4,2004
312,31,"libertarianism, randomness, Moran, decisions, summary statements",3,2004
313,32,"inductive, Hume, induction, hypotheses schemes, partitions",8,2004
314,33,"Wittgenstein, analyticity thesis, Russells views, analyticity, strong analyticity",7,2004
315,34,"Kant, knowledge things, world interpretation, incongruent counterparts, idealism",3,2004
316,35,"perceptual, appeared greenly, conjunction PK, justification believing, experiences",2,2004
317,36,"Hamlet someone, Shakespeare, proposed replacement, replacement fact, part probabilistic",2,2004
318,37,"categories, ontological categories, ontological, thesis, categories ontological",3,2004
319,38,"externalism, externalist, social externalism, cognitive externalism, content",6,2004
320,39,"see 12, several substantial, without satisfaction, substantial mathematical, paper Paradox",1,2004
321,40,"causation, trope monism, properties causation, mental causation, realizability",1,2004
322,41,"Epictetus, Plato, Socrates, Laws, Republic",9,2004
323,42,"logics, state model, dynamic, game, alternating time",4,2004
324,43,"follows agents, virtues follows, shortcuts cognitively, advance cognitive, ways finding",1,2004
325,44,"paradoxes, external world, sceptic external, contain profound, paradoxes instance",1,2004
326,45,"agile, companies, mainly selection, development teams, agile companies",1,2004
327,47,"laws, difficulty, turns laws, false made, difficulty necessitarianism",2,2004
328,49,"unification, causal unification, causal account, advantages unification, apparatus unification",1,2004
329,51,"theories facts, propositions, However Neale, extensional connectives, properties components",2,2004
330,52,"dimensionalism, Four, four dimensionalism, time, Four Dimensionalism",8,2004
331,55,"passive action, causalism, strategy toconstrue, analternative way, action examined",1,2004
332,57,"deflationism, unanalyzable deﬁnable, deﬁned non, Properties Colin, recast profoundly",2,2004
333,59,"Epicurus, fear death, animals, fears, claim death",4,2004
334,60,"memory, Hoerl McCormack, 419 45, Issues Philosophy, Time Memory",2,2004
335,62,"John believes, sets, verbs believe, attitudeascriptions, theory issues",3,2004
336,63,"perception, hallucination, direct realism, realism, perceptual",6,2004
337,64,"Descartes, nativism, question begging, Awareness Principle, Des Chene",6,2004
338,66,"Spinoza, Leibniz, collegial approach, Bennett work, essays collected",3,2004
339,69,"processes systems, models, idealizations, nature constituentfactors, theories approximation",1,2004
340,70,"metaphysics, world, basic physical, Metaphysics, metaphysical",6,2004
341,72,"Sleeping Beauty, diachronic Dutch, Beauty problem, justify competing, persuaded diachronic",2,2004
342,73,"Principal Principle, inverse, PP, serious cost, form NP",3,2004
343,74,"coherence, coherentism, congruence, latter, epistemicjustification use",2,2004
344,75,"minimal modal, modal logic, KP modal, VT Fitchs, collapses truth",1,2004
345,76,"kind terms, rigidlydesignating kind, terms like, objects, natural kind",2,2004
346,77,"essentialist implications, merely something, compatible PLA, dispositions First, con glomerate",1,2004
347,78,"purely recognitional, recognitional concepts, recognitional, higher order, consciousness",2,2004
348,79,"meaning platonist, platonist assumptions, platonist, Frege, Leibniz",1,2004
349,80,"apparatus contrasted, Different interpretations, contrasted David, represent role, different use",1,2004
350,82,"principle helps, show principle, justifies believing, Evanss principle, best authority",1,2004
351,84,"Frankfurt, special class, done otherwise, PAP Harry, determinism andresponsibility",1,2004
352,85,"motor control, current neurological, neurological, system associated, voluntary VMC",1,2004
353,87,"problem self, first person, self mean, modern asking, connections problem",1,2004
354,88,"Quine, Carnaps distinction, distinction, analyticity, mathematics",2,2004
355,-1,"knowledge, argue, paper, descriptions, laws",125,2005
356,0,"rights, normative, justice, realism, ethics",39,2005
357,1,"belief, justification, epistemic, degree belief, concepts justification",11,2005
358,2,"mathematics, set concept, set theory, identifiability thesis, ideation",10,2005
359,3,"Widescopers, Widescopism, name synonymous, definite description, take wide",11,2005
360,4,"rationality, rational requirements, desire independent, practical reason, collective rational",8,2005
361,5,"systems, neuroscience, cognitive, neuroscientists, dynamical systems",5,2005
362,6,"exist, possible worlds, possible world, possibilia, theoretic methods",6,2005
363,7,"decision, interval, transformative decision, win pay, order independent",5,2005
364,8,"theoretic explanations, incommensurable explanandum, explanans, empirical data, Keplers explanation",1,2005
365,9,"presentist, temporal, fixity, presentism, temporal asymmetry",4,2005
366,10,"systemic properties, within system, cannot predicted, systematics, species",3,2005
367,11,"view intensional, implicatures, verbs, Sententialism, implicature dual",2,2005
368,12,"candor integrity, candor, integrity, implicitly researcher, imperatives candor",1,2005
369,13,"causation, plant, causal, dispositions whose, water plant",5,2005
370,14,"invariantism, contextualism, sensitive invariantism, knowledge, person cases",10,2005
371,15,"realism, realists, antirealists destined, suggests realism, consensus eternal",1,2005
372,16,"perceptual, perceptual experience, content, way aware, perceived object",5,2005
373,17,"Boghossians, documentclass12ptminimal usepackageamsmath, documentclass12ptminimal, usepackagemathrsfs usepackageupgreek, usepackageamssymb usepackageamsbsy",7,2005
374,18,"universal distinction, particular universal, Vagueness Argument, conceptions, Vagueness",2,2005
375,19,"judgments, hypological judgments, judgments moral, responsibility, moral responsibility",1,2005
376,20,"emotions, due Greenspan, 1980 Morton, feel fear, contradiction appropriate",1,2005
377,21,"physicalism, physical, concepts, phenomenal concepts, supervenience based",8,2005
378,22,"vagueness, borderline cases, predicates, theory vagueness, order vagueness",12,2005
379,24,"colour, objects, colour irrealism, Sparrow, colour concepts",7,2005
380,25,"personal identity, psychological, matters survival, consciousness, mindless fetus",6,2005
381,26,"fictionalism, hermeneutic fictionalism, fictionalist, propositions, fictional",2,2005
382,27,"closure, knowledge, endogenous constraints, mental state, tracking theories",7,2005
