,Topic,Words,Frequency,Timestamp
65,0,"rights, political, Gert, value, book",54,2001
66,1,"UL, creature, could turned, rational creature, abilities rational",5,2001
67,2,"mathematics, prime numbers, numbers, philosophy mathematics, us exist",6,2001
68,3,"Humean, desire, dilemma, guide choices, specific arguments",14,2001
69,4,"connectionist, Bealers argument, argument functionalism, computational, extensional",10,2001
70,5,"modal, Chihara, conception modal, idealized belief, modal logic",8,2001
71,6,"box, decision theory, choose, preferences, possible outcomes",7,2001
72,7,"joint probabilities, Bells inequalities, minimalist position, Bells, non commuting",4,2001
73,8,"temporal, temporal indexicals, tenseless, tense, experience tense",5,2001
74,9,"treatment chaos, systems along, succinct accurate, Explaining Chaos, pertinent philosophical",1,2001
75,10,"indirect speech, speech acts, opacity, indexical, substitutivity",11,2001
76,11,"JSTOR, work scholarly, JSTOR profit, work materials, scholarly community",1,2001
77,12,"causation, Causation, causal loops, genuine causation, causation omission",8,2001
78,13,"ofﬁce, global doubts, doubts, scepti cism, contexts everyday",3,2001
79,14,"scientific, scientific realism, linguistic formulations, radical scientific, revolutions paradigm",6,2001
80,15,"perceptual, nonconceptual content, object, nonconceptual, perceptual experience",12,2001
81,16,"protocols, warranted assertability, intuitionistic logic, logical constants, intuitionistic",3,2001
82,17,"think various, natural Some, Denkel, objects, bundle theory",4,2001
83,18,"responsibility, agent, kind mechanism, taking responsibility, dilemmas",4,2001
84,19,"laughter, emotions, Elster, Hobbes, intimacy",7,2001
85,20,"identities, explanatory gap, phenomenalphysical identities, phenomenalphysical, reducible physical",8,2001
86,21,"vagueness, Quandary, variety vagueness, vagueness linguistic, vagueness third",2,2001
87,22,"definition pornography, definition, pornography, stipulative definition, argues extant",1,2001
88,23,"colour, Quest Reality, things, indiscriminability, Barry",7,2001
89,24,"Lockeanism, personal identity, animalism Lockeanism, brain, animalism",8,2001
90,25,"mental images, imagery, says neither, world relevant, theoretical intuition",3,2001
91,26,"new paradox, relevant alternatives, Knower show, theory RAT, trapped problem",2,2001
92,27,"experts, worries trouble, purport resolve, complex highly, quandaries",1,2001
93,28,"art history, art, history, history writing, Goodman",3,2001
94,29,"religious faith, faith, religious, Information, book",11,2001
95,30,"self causation, indeterminism necessary, indeterminism, conception ultimate, action subject",3,2001
96,31,"Hume, interpretation Hume, Hume theory, influence, Copy Principle",11,2001
97,32,"Wittgenstein, passages, philosophy, foundations mathematics, transitional phase",8,2001
98,33,"Kant, transcendental, idealism, apperception, substance priori",6,2001
99,34,"perceptual, perception, Brewer, perceptual experiences, empirical beliefs",8,2001
100,35,"conditionals, meaning connection, connexive, entailment, indicative subjunctive",2,2001
101,36,"atoms arranged, exist atoms, arranged, Aristotles, statuewise",2,2001
102,37,"internal twins, virtue one, infallible, justified beliefs, agree internal",2,2001
103,38,"lack solutions, Liar Paradox, one conclusive, list Surely, Parsons work",1,2001
104,39,"events, bodily behavior, complex event, previous microphysical, pork chops",1,2001
105,40,"Politics, Aristotle, Socrates, Plato, book",11,2001
106,41,"protocols, soundness fairness, dynamic disputes, proof theories, protocols dynamic",1,2001
107,42,"reflection, Virtue, Virtue Epistemology, Sosas, Epistemology",1,2001
108,43,"reliabilism Greco, theory Greco, easily dismissed, virtue based, agent reliabilism",2,2001
109,44,"species acceptance, species, collective belief, plural subjects, collective",2,2001
110,46,"rotating, rotating homogeneous, homogeneous, experiments Armstrong, RDA sorts",1,2001
111,47,"pragmatist theory, mind run, believing terms, run pragmatist, reconstruct notions",3,2001
112,49,"intuitions, instances skeptical, psychological constitution, contingent psychological, begins demonstration",1,2001
113,50,"avoids flaws, Neale considers, flaws Russell, facts Neale, bring discussion",1,2001
114,53,"around sense, reference, hypothesislooks interpretation, abilities uniquely, naive psychology",1,2001
115,54,"conception call, action way, world conceived, intentional action, intention",2,2001
116,56,"deflationism, deflationist, effective enumeration, Meaningless Strategy, rule theory",5,2001
117,57,"Jackson, conceptual analysis, many cognitive, localist position, analysis",3,2001
118,58,"Environmental, xviii 195, Philosophy Ethics, AUS69, Padmasiri de",2,2001
119,60,"doubt difficulty, With possible, Progress nature, nomic concepts, function pervasiveness",1,2001
120,61,"fly, Clark Kent, Kent, serve modes, modes presentation",3,2001
121,63,"Descartes, senses, writings, portrayed Meditations, introduce Descartes",2,2001
122,64,"insist process, knows two, center Annette, guise mind, cleverness",2,2001
123,65,"Leibniz, philosophy mind, perceptions, mind looks, mind immaterial",1,2001
124,66,"individualist, express various, thoughts sincere, sincere utterances, concept applies",3,2001
125,69,"applied metaphysics, metaphysics, given domain, issue whether, topic",3,2001
126,70,"When feel, leg understand, pain leg, leg, feel pain",1,2001
127,71,"underestimated argument, facie consequences, species going, risk human, Assumption present",1,2001
128,73,"justification coherence, coherence, coherentism, justification, coherentist literature",1,2001
129,75,"particles names, plural referring, terms KPT, KPT develops, examines description",1,2001
130,77,"flow largelyfrom, metaphor horse, representing HOS, cognitiveneuroscientific, character sensory",2,2001
131,79,"functional consistency, semantic, Moores paradox, semantic theory, consistency",1,2001
132,81,"paradoxical proposition, Moore paradoxical, epistemic defeasibility, important meta, contradiction self",3,2001
133,82,"ontology, ontological dimension, Principle Semantic, Semantic Sentential, truth ontological",2,2001
134,84,"mental acts, mentalacts, mental, acts bodily, acts mentaloperations",1,2001
135,86,"privilege, first person, person privilege, approach privilege, expressive",4,2001
136,87,"Quines, epistemic analyticity, synthetic distinction, empiricism, holism",4,2001
137,-1,"philosophy, self, language, one, book",157,2002
138,0,"Adams, moral, book, ethics, utilitarianism",59,2002
139,1,"TG, belief, reliabilism, Reliabilism, produced",11,2002
140,2,"mathematics, Potter, incidence, arithmetic, Poincaré",19,2002
141,3,"Pollocks, reasons, ought, practical, internalism",12,2002
142,4,"multiplerealizability, realizability, Infinite Minds, cellularmolecular, Minds Cosmology",3,2002
143,5,"conceptual relativity, relativity, modal, metaphysical realism, realism",7,2002
144,6,"causal probability, events clause, definition related, definition proceeds, define investigate",5,2002
145,7,"indistinguishability, indistinguishability classical, quantum, space, classical particles",3,2002
146,8,"token reflexive, time, real change, reflexive, property based",6,2002
147,9,"group selection, selection, mind twistingly, perspectives, historical continuity",8,2002
148,10,"demonstratives, language, implicature, understanding language, expressions",17,2002
149,12,"causation, causal processes, causal, Bayesian propensity, reductionist proposal",5,2002
150,13,"contextualist, contextualist solution, Closure, puzzles, motivate contextualist",2,2002
151,14,"miraculous, successful theories, theories, empirical, miraculous choice",8,2002
152,15,"Reid, geometry, spherical projections, phenomenal character, spherical",4,2002
153,16,"iff Tr, apriority logic, apriority, logic, formal structural",5,2002
154,17,"statue, primary kind, constituting, Baker, objects",5,2002
155,18,"Responsibility, Strawsonian, Moral Sentiments, Sentiments, Responsibility Moral",6,2002
156,19,"affectivity, jealousy, emotions, Neu, Tear",7,2002
157,20,"physical properties, physicalism, supervenience, bits matter, consciousness",10,2002
158,21,"vagueness, vague predicates, sorites arguments, error principles, epistemicism",8,2002
159,22,"obscenity, morally prohibited, affective responses, Sex, indulge",3,2002
160,23,"colour vision, sensible qualities, qualities color, vision, perceivers",7,2002
161,24,"persons, ontological significance, human animals, Baker, personal identity",9,2002
162,25,"theory imagination, pretend iteration, modalfictionalism, way ideas, puzzles argue",4,2002
163,26,"known known, tradition independent, know, knowledge, priori warrant",5,2002
164,28,"Theory Art, Press Oxford, intentionality proper, knowing push, highest entity",3,2002
165,29,"Information, Reason By, Press, Oxford, Reason",11,2002
166,30,"Humean compatibilism, Humean, libertarianism, restrictivism, situations one",4,2002
167,31,"Hume, Hume radical, skepticism naturalism, argument concerning, radical skepticism",6,2002
168,32,"Wittgenstein, Heidegger, Friedlander, Themes Investigations, metre long",7,2002
169,33,"freely beautiful, Kants, judged dependently, dependently beautiful, judged freely",3,2002
170,35,"shoot Kennedy, shoot, entailed Someone, shows entail, Dudman",2,2002
171,36,"Categories, primary substance, substance Metaphysics, substances, organisms",2,2002
172,37,"internal facts, infallibility, rationality belief, Internalism, facts thinkers",4,2002
173,38,"referential truth, paradoxes, truth skepticism, forms truth, semantic competence",5,2002
174,39,"mental causation, supervenience, level properties, causation, contemporary problem",3,2002
175,40,"Plato, texts, Boys Stones, book, discursive thought",14,2002
176,41,"checking, programming languages, programming, model checking, semantical models",2,2002
177,42,"action right, virtuous, belief justified, observerwould deem, Virtue theorists",1,2002
178,43,"platitudes, scepticism, doctrines, rejection scepticism, objection follows",2,2002
179,44,"social epistemology, Social World, Knowledge Social, social practices, requirements democracy",4,2002
180,45,"response dependence, intuitivecases response, dependence, traditional conception, twoconceptions able",1,2002
181,46,"factual normative, normative worlds, Hume, Hume Principle, worlds",3,2002
182,48,"structuralism, unification, explanation unification, causal, framework structuralist",3,2002
183,50,"propositions, structures sentences, structures, shall assume, sentences express",1,2002
184,51,"coexistence, four dimensional, endurantism, three dimensional, dimensional description",5,2002
185,52,"testimonial beliefs, beliefs, justify testimonial, recognized Informative, Coady argues",3,2002
186,54,"Causing Actions, Causing, Actions, discussed review, claims Paul",2,2002
187,56,"lack non, view ofindeterminacy, truth claim, meaning sentence, sentence truth",4,2002
188,58,"322 Paperback, Environmental Philosophy, Environmental, Acumen, xiv",3,2002
189,59,"anaphoric, anaphoric thinking, memory, know something, enables",2,2002
190,61,"ascriptions, ascribee, class notionally, ii, attitude",4,2002
191,63,"Descartes, passions, cogito, separability, Descartess",5,2002
192,64,"self deception, might term, essential process, term deflationists, show adjudicate",1,2002
193,66,"papers previously, presentations conference, two descendants, anthology fteen, Jopling Self",2,2002
194,69,"metaphysics, Lowe, likely competent, contribution analytical, bachelor dictionary",2,2002
195,70,"state affairs, Chastity, upbringing, reason end, consisting imagining",3,2002
196,71,"doomsday, doomsday argument, Monday, Elga, treatment forgetting",4,2002
197,72,"chance, occur chance, opportunities event, instances, broadly similar",2,2002
198,74,"anti realism, knowable unrestricted, competing principle, intuitionistically proposition, impugned prove",2,2002
199,75,"general terms, rigidity, kind terms, explores theory, essentialism developed",2,2002
200,77,"consciousness intrinsic, consciousness, Aladdin, perceiving perceive, discussion perceiving",2,2002
201,78,"decomposition, analysis decomposition, Russell accepts, regress argument, analysis",2,2002
202,79,"occurrence sentence, sentence possibility, necessity one, assessing occurrence, philosophical usage",1,2002
203,81,"know guise, Proof, occurs sentences, interpretation Finally, nonetheless assertible",2,2002
204,83,"critique Fischer, scenario might, scenario acts, principle theagent, actual scenario",1,2002
205,86,"attitudinal, skepticism reality, Dennett Stich, thinkers par, attitudinal psychology",1,2002
206,-1,"Tarskis, Scanlon, theory, sentences, paper",123,2003
207,0,"human, freedom, moral status, patents, morality",51,2003
208,1,"Levi, justification, beliefs, instrumental rationality, reliability",9,2003
209,2,"mathematical, Hilberts program, Tarskian definition, Hilbert, axiom",14,2003
210,3,"rationality, Audi, psychological states, psychological, psychologism",16,2003
211,5,"actual objects, non actual, Roderic Girle, Teddington, Logic Philosophy",3,2003
212,6,"prospect theory, prospect, losses, risk, backward induction",8,2003
213,7,"like funny, locality, dichotomy EPR, proved equivalent, type experiments",5,2003
214,8,"temporal, temporal reality, conclusion temporal, temporal part, stories",7,2003
215,9,"taxonomic, incommensurability, concepts stability, taxonomic incompatibility, scientific kinds",3,2003
216,10,"presupposition, refers, relative context, speaker presupposition, semantic",6,2003
217,11,"Bacon, Francis Bacon, priority, allocation resources, successes",2,2003
218,12,"causation, NP counterfactuals, causes, window, Dowe",9,2003
219,13,"contextualists, knowledge plausibly, contextualists rebut, semantic intentions, knowledge contextualists",1,2003
220,14,"multiple theories, Strong Predictionism, realism multiple, Predictionism, evolutionary theory",2,2003
221,15,"geometry, psychological abilities, thought contents, whose geometry, field spherical",2,2003
222,16,"Consequence Condition, Converse Consequence, Condition Entailment, confirmation principles, one interprets",2,2003
223,17,"bare particulars, Mertz, alteration, fusion, clad",7,2003
224,18,"disposition, choice disposition, fundamental choice, viii 229, Agency Responsibility",2,2003
225,19,"emotions, affective, reasons love, moral, nonrelational features",6,2003
226,20,"physicalism, heat perception, ontological physicalism, materialism, perception",7,2003
227,21,"vagueness, Sorensen, theories vagueness, fuzzy, epistemic tolerance",9,2003
228,22,"harassment, race, Afro Caribbean, Africana, diaspora",4,2003
229,23,"Dialogue, snow, Locke, colour objectivism, Dialogue arguments",7,2003
230,24,"Tinkertoys, house, fusion walls, disassembly, Tinkertoy parts",4,2003
231,25,"fictional, fictional characters, modal realism, fictionalist, characters",2,2003
232,26,"warranted false, belief warranted, accidentally true, Problem, Gettier intuitions",6,2003
233,28,"Sibley, art What, 425 Paperback, Philosophy Mass, Mass Art",3,2003
234,29,"By, Chapter, Plantinga, 95 Information, Pp xi",10,2003
235,30,"Inwagens, libertarian, indeterminism, compatibilist, quest philosophical",4,2003
236,31,"early modern, Lange, reasoning Humes, conception reasoning, modern conception",4,2003
237,32,"Wittgenstein, rule following, genuine propositions, misrepresented, nonsense",4,2003
238,33,"Cleve, Kant, judgment perhaps, genuine existence, things genuine",4,2003
239,35,"conditionals, subjunctive, three parameter, parameter account, account counterfactuals",4,2003
240,36,"believing Fs, expressed Fs, institutional, also term, intentions fail",2,2003
241,37,"externalism, brains vat, cognitive situationcannot, mistaken inferences, metaphysical realismthat",5,2003
242,38,"Yablos paradox, refer Yablos, paradox circular, self reference, circularity",1,2003
243,39,"physical, anomalism mental, Causal Exclusion, mental properties, causal powers",8,2003
244,40,"Plato, logical means, Socrates, dialogues, Aquinas",8,2003
245,42,"reliabilism, agent reliabilism, reliabilism preference, belief grounded, brief agent",2,2003
246,43,"skepticism, external world, skeptical arguments, skeptic, empirical knowledge",7,2003
247,44,"IRA, Blackwell, believe IRA, Therefore said, Guide Philosophy",3,2003
248,45,"suggestions Sanford, discussion illustrates, syllogistic relations, tB precedes, usually false",2,2003
249,46,"Humean supervenience, Humean, instantiations, world, system",1,2003
250,47,"dilemma Brandom, normative vocabulary, evade dilemma, theories content, vocabulary",2,2003
251,48,"social realm, narrative, social scientists, explanation, person perspective",2,2003
252,51,"dimensionalism, four dimensionalism, four, stage theory, objects",10,2003
253,52,"APT, local reductionism, reductionism, complements local, pain scepticism",1,2003
254,54,"Human Action, dynamical systems, Human, gives, II",2,2003
255,56,"sentences understood, conflation, existential, sentences Ultimately, language universal",3,2003
256,57,"conceptual analysis, conceptual, objection reductionism, reductionism, Jackson",2,2003
257,59,"personal memory, memory judgements, identity, presupposition agent, mistaken personal",2,2003
258,60,"Birds cases, part consider, bare dispositions, possibility bare, dispositions necessarily",3,2003
259,61,"vocabulary, attitude vocabulary, clause, grammatical structure, hasgenerally",2,2003
260,62,"perceptual direct, effect principle, defense perceptual, Theory Appearing, Appearing",3,2003
261,63,"sensory, sensory perception, sensory experience, Cartesian mind, primary secondary",2,2003
262,64,"interpretist approach, attentive consciousness, self deception, Principles reasoning, Interpretists",1,2003
263,65,"necessitarianism, Spinoza, attributes, essence, 2d2",5,2003
264,66,"selfblind, individualism, introspective awareness, introspective, anti individualists",4,2003
265,69,"metaphysics Professor, contribution metaphysics, names understood, science correctly, sees metaphysics",1,2003
266,70,"objects, modes, make intense, pains mental, importance taking",2,2003
267,71,"doomsday, doomsday argument, SIA, argument, interpretations principle",5,2003
268,72,"cat, deadly poison, likely die, comply Lewis, fumes depending",1,2003
269,73,"coherence, confidence boost, information, coherent, maximally coherent",2,2003
270,74,"antirealistic, truths, unperformability, verification procedure, antirealism",3,2003
271,77,"Neo Brentanian, HOT theory, Order Monitoring, Higher Order, Higher",3,2003
272,78,"Lauben, linguisticexpressions, objectivism someelements, example Frege, morals pertain",1,2003
273,83,"rejection desire, ownership, order attitudes, Platonic, hierarchical",1,2003
274,85,"compatibilists, compatibilism, concomitant notions, compatibilism completely, compatibilism shallow",1,2003
275,86,"thoughts, self consciousness, plausible theory, consciousness, reply focus",4,2003
276,87,"Quine, Dogmas, deflationism, analyticity, Carnap",3,2003
277,-1,"descriptivism, objections, theory, consciousness, reference",123,2004
278,0,"charity, cloth, Kant, rights, value",39,2004
279,1,"Truetemp, reliabilism, probabilities, belief, Bayesianism",9,2004
280,2,"abstraction, holes, implicit definability, eliminative, definability",7,2004
281,3,"extrinsic desire, negative results, Humeanism, loophole, Humean approach",13,2004
282,4,"NEF, networks, McCulloch, time memory, computation",5,2004
283,5,"modal, modal logic, variability modal, modal intuitions, de modal",9,2004
284,6,"expected outcomes, game, decision rules, conventional conditional, deliberation process",6,2004
285,7,"relativity theory, quantum mechanics, geometry, structural realism, relativity quantum",7,2004
286,8,"perceptual knowledge, duration, time perception, truth makers, perception",6,2004
287,9,"natural kind, nature analysing, metaphysics nature, natural selection, descriptivists",2,2004
288,10,"location utterance, substitutivity, utterance, noun fact, cases expressions",7,2004
289,11,"objectivity, Buchanan research, economic philosophy, Buchanan, hangover",4,2004
290,12,"pre emption, emption, problem pre, degree influence, notion degree",1,2004
291,13,"contextualism, knowledge, SSI, knowledge attribution, condition know",10,2004
292,14,"practice observation, realism, van Fraassens, scientific realism, observation",5,2004
293,15,"seeing, difference blindness, natural sensory, blindness, nonepistemically",5,2004
294,16,"inference forms, Archetypal, implicitly subsumes, premiss conclusion, inferences",2,2004
295,17,"stuff, constitutionally related, portions stuff, related objects, expected shared",4,2004
296,18,"legal, law, legal doctrines, tort law, legal moral",1,2004
297,19,"emotions, call compassion, flat plane, geological upheavals, Nussbaum recent",4,2004
298,20,"assumptions drive, psychological experience, Machs doctrine, Phenomenal concepts, economy thought",6,2004
299,21,"vague, idea world, vagueness, vague terms, contain vague",8,2004
300,22,"race, view race, biological kind, social construction, grandparent women",2,2004
301,23,"colors, colour, scepticism, reflectance, Quest Reality",8,2004
302,24,"coincides thinking, argument animals, apparent fact, animal looks, critics case",1,2004
303,25,"morally deviant, principles Many, Many statements, explanation turns, explanations counterexamples",1,2004
304,26,"Paradox, without Epistemic, Knower without, Knower Paradox, Closure MIND",1,2004
305,28,"aesthetic, aesthetic testimony, human nature, handled forks, handled knives",4,2004
306,29,"95 paper, Chicago La, Their Roots, Culture Equality, Paradoxes Their",4,2004
307,30,"avowal, libertarianism, randomness, decisions, survey articles",3,2004
308,31,"inductive, schemes, induction, hypotheses schemes, partitions",8,2004
309,32,"Wittgenstein, analyticity thesis, Russells views, analyticity, proposition shows",7,2004
310,33,"knowledge things, Kant, incongruent counterparts, world interpretation, rescue",3,2004
311,34,"appeared, conjunction PK, appeared greenly, justification, case",2,2004
312,35,"Hamlet, Hamlet someone, Shakespeare, conditionals relates, contrast Shakespeare",2,2004
313,36,"ontological categories, ontological, thesis, countable, property bearers",3,2004
314,37,"externalism, social externalism, externalist, cognitive externalism, incomplete understanding",6,2004
315,38,"without satisfaction, see 12, several substantial, substantial mathematical, errors vitiate",1,2004
316,39,"tropes, trope monism, properties causation, realizability, mental causation",1,2004
317,40,"Epictetus, Laws, Socrates, Plato, ethical political",9,2004
318,41,"state model, logics, protocol, alternating time, languages",4,2004
319,42,"virtues, ways finding, shortcuts cognitively, capacities metavirtues, characteristics like",1,2004
320,43,"paradoxes, external world, paradoxes instance, hand paradoxes, inevitably deploys",1,2004
321,44,"agile, companies, term agile, investigation Agile, interviewing managers",1,2004
322,46,"counterlegal, difficulty, vacuous, laws nature, presupposition necessitarianism",2,2004
323,48,"unification, unification accounts, causal unification, central technical, investigation causal",1,2004
324,50,"Neale, theories, extensional connectives, safe slingshot, properties components",2,2004
325,51,"dimensionalism, four dimensionalism, Theodore Sider, Four Dimensionalism, Dimensionalism",8,2004
326,54,"passive action, causalism, forcausal theories, conceptuallycoherent category, defense causalism",1,2004
327,56,"unanalyzable, book truth, circular statement, possibly deflationism, maintain explain",2,2004
328,58,"Epicurus, life, fear death, fears, claim death",4,2004
329,59,"Issues Philosophy, Hoerl McCormack, Time Memory, 419 45, Philosophy Psychology",2,2004
330,61,"John believes, sets possible, plausiblesemantic, represent belief, incontent indexically",3,2004
331,62,"direct realism, perception, hallucination, realism, theory perception",6,2004
332,63,"Descartes, nativism, question begging, Awareness Principle, Locke",6,2004
333,65,"collegial approach, Spinoza, Bennett work, essays collected, Leibniz",3,2004
334,68,"processes systems, whomone factors, detaching component, nature constituentfactors, idealization identifying",1,2004
335,69,"basic physical, world, cloth 19, Vasubandhus, amenable treatment",6,2004
336,71,"tails, diachronic Dutch, Sleeping Beauty, every heads, reasoning purports",2,2004
337,72,"inverse, Principal Principle, PP, form NP, serious cost",3,2004
338,73,"coherentism, coherence, coherentists, congruence, items ofevidence",2,2004
339,74,"minimal modal, modal logic, modal, show VT, collapses truth",1,2004
340,75,"kind terms, rigidlydesignating kind, terms like, differ objects, entities status",2,2004
341,76,"essentialist implications, principles physics, argue irrespective, merely something, compatible PLA",1,2004
342,77,"purely recognitional, recognitional concepts, meet challenge, thought, thought experiments",2,2004
343,78,"platonist assumptions, meaning platonist, platonist, meaning, Leibniz",1,2004
344,79,"apparatus contrasted, contrasted, different use, represent role, Different interpretations",1,2004
345,81,"principle helps, show principle, justifies believing, argument Evanss, supply argument",1,2004
346,83,"Frankfurt, counterfactualsof, Principle AlternatePossibilities, cannot otherwise, class ofcounterfactuals",1,2004
347,84,"VMC, motor control, current neurological, cortically mediated, directed motor",1,2004
348,86,"problem self, worth name, puzzle presented, comprehends great, conditions psychological",1,2004
349,87,"Quine, Carnaps distinction, distinction, mathematics, room notion",2,2004
350,-1,"descriptions, laws, knowledge, theory, Russell",136,2005
351,0,"ethical, political, character, realism, egalitarian",39,2005
352,1,"belief, justification, concepts justification, degree belief, whether believe",11,2005
353,2,"set concept, identifiability thesis, ideation, permutation argument, explanations science",10,2005
354,3,"rationality, rational requirements, collective rational, Kantian universalizability, possibility collective",8,2005
355,4,"systems, neuroscience, dynamical systems, object exploration, Bennett Hacker",5,2005
356,5,"exists, mere possibilia, theoretic methods, precisely say, model theoretic",6,2005
357,6,"interval, transformative decision, order independent, actions performable, win pay",5,2005
358,7,"theoretic explanations, incommensurable explanandum, explanans, incommensurable, explanans theories",1,2005
359,8,"presentist, asymmetry fixity, fixity, temporal asymmetry, doctrines ontological",4,2005
360,9,"systemic properties, emergence, within system, cannot predicted, systematics",3,2005
361,10,"view intensional, implicatures, verbs, within clausal, implicature associated",2,2005
362,11,"candor integrity, imperatives candor, Yet philosophical, exemplified devotion, adhere twin",1,2005
363,12,"plant, physical, water plant, dispositions whose, two causes",5,2005
364,13,"contextualism, sensitive invariantism, classic invariantism, person cases, contextualism subject",10,2005
365,14,"realism, realists, years witnessed, consensus eternal, finish preface",1,2005
366,15,"perceptual, perceptual experience, data, way aware, perceived object",5,2005
367,16,"Boghossians, documentclass12ptminimal, documentclass12ptminimal usepackageamsmath, usepackagemathrsfs usepackageupgreek, usepackageamssymb usepackageamsbsy",7,2005
368,17,"universal distinction, particular universal, Vagueness Argument, distinction, Vagueness",2,2005
369,18,"judgments, hypological judgments, judgments moral, deontic judgments, axiological judgments",1,2005
370,19,"emotions, attractive instance, ambivalent emotions, things positive, feel fear",1,2005
371,20,"Papineau, physicalism, phenomenal concepts, supervenience based, physicalist",8,2005
372,21,"vagueness, Sorensen, borderline cases, theory vagueness, predicates",12,2005
